year,jul
1934,-446
1935,461
1936,-14
1937,-26
1938,-16
1939,32
1940,-270
1941,130
1942,-349
1943,205
1944,-495
1945,200
1946,27
1947,186
1948,-407
1949,425
1950,-37
1951,-90
1952,359
1953,190
1954,28
1955,-264
1956,-486
1957,340
1958,318
1959,-252
1960,-89
1961,-212
1962,274
1963,153
1964,-586
1965,-37
1966,235
1967,-77
1968,182
1969,45
1970,489
1971,-417
1972,-35
1973,-215
1974,256
1975,-176
1976,195
1977,-453
1978,-300
1979,-63
1980,337
1981,-332
1982,-221
1983,701
1984,-86
1985,71
1986,136
1987,-5
1988,97
1989,-29
1990,-58
1991,-323
1992,271
1993,-59
1994,82
1995,92
1996,-355
1997,332
1998,42
1999,-213
2000,593
2001,-296
2002,-20
2003,-297
2004,-19
2005,33
2006,43
2007,162
2008,-248
2009,315
2010,-250
2011,-7
2012,154
2013,464
2014,-117
2015,199
2016,49
